Time Diff, Data, meas
7181,0,CHIP1T
7197,0,REVCNT
7199,0,RPM
7200,0,TPS
7200,109,MAP
7219,0,REVCNT
7221,0,RPM
7222,0,TPS
7222,109,MAP
7244,0,REVCNT
7254,0,RPM
7254,0,TPS
7255,109,MAP
7272,0,REVCNT
7275,0,RPM
7276,0,TPS
7276,109,MAP
7296,495,ACC1X
7299,520,ACC1Y
7300,602,ACC1Z
7300,0,CHIP1T
7316,0,REVCNT
7319,0,RPM
7320,0,TPS
7320,109,MAP
7337,0,REVCNT
7341,0,RPM
7342,0,TPS
7342,109,MAP
7364,0,REVCNT
7367,0,RPM
7367,0,TPS
7368,109,MAP
7386,0,REVCNT
7389,0,RPM
7390,0,TPS
7390,109,MAP
7409,495,ACC1X
7412,520,ACC1Y
7413,603,ACC1Z
7413,0,CHIP1T
7430,0,REVCNT
7433,0,RPM
7434,0,TPS
7434,109,MAP
7451,0,REVCNT
7454,0,RPM
7458,0,TPS
7459,109,MAP
7481,0,REVCNT
7484,0,RPM
7485,0,TPS
7485,109,MAP
7503,0,REVCNT
7505,0,RPM
7506,0,TPS
7506,109,MAP
7526,494,ACC1X
7529,520,ACC1Y
7530,602,ACC1Z
7531,0,CHIP1T
7547,0,REVCNT
7550,0,RPM
7550,0,TPS
7552,109,MAP
7569,0,REVCNT
7572,0,RPM
7572,0,TPS
7573,109,MAP
7595,0,REVCNT
7598,0,RPM
7598,0,TPS
7599,109,MAP
7616,0,REVCNT
7619,0,RPM
7620,0,TPS
7620,109,MAP
7640,494,ACC1X
7643,520,ACC1Y
7644,603,ACC1Z
7645,0,CHIP1T
7661,0,REVCNT
7664,0,RPM
7664,0,TPS
7670,109,MAP
7688,0,REVCNT
7691,0,RPM
7692,0,TPS
7692,109,MAP
7714,0,REVCNT
7716,0,RPM
7717,0,TPS
7717,109,MAP
7736,0,REVCNT
7739,0,RPM
7739,0,TPS
7740,109,MAP
7759,495,ACC1X
7762,520,ACC1Y
7762,603,ACC1Z
7763,0,CHIP1T
7780,0,REVCNT
7783,0,RPM
7783,0,TPS
7784,109,MAP
7801,0,REVCNT
7804,0,RPM
7804,0,TPS
7805,109,MAP
7827,0,REVCNT
7830,0,RPM
7830,0,TPS
7831,109,MAP
7848,0,REVCNT
7852,0,RPM
7853,0,TPS
7853,109,MAP
7872,494,ACC1X
7875,520,ACC1Y
7876,602,ACC1Z
7876,0,CHIP1T
7897,0,REVCNT
7900,0,RPM
7900,0,TPS
7901,109,MAP
7918,0,REVCNT
7921,0,RPM
7921,0,TPS
7922,109,MAP
7944,0,REVCNT
7947,0,RPM
7948,0,TPS
7948,109,MAP
7965,0,REVCNT
7968,0,RPM
7969,0,TPS
7969,109,MAP
7989,494,ACC1X
7992,520,ACC1Y
7993,603,ACC1Z
7994,0,CHIP1T
8010,0,REVCNT
8012,0,RPM
8013,0,TPS
8013,109,MAP
8032,0,REVCNT
8034,0,RPM
8035,0,TPS
8035,109,MAP
8057,0,REVCNT
8060,0,RPM
8060,0,TPS
8061,109,MAP
8079,0,REVCNT
8082,0,RPM
8082,0,TPS
8083,109,MAP
8102,494,ACC1X
8105,520,ACC1Y
8112,603,ACC1Z
8113,0,CHIP1T
8129,0,REVCNT
8132,0,RPM
8132,0,TPS
8133,109,MAP
8151,0,REVCNT
8154,0,RPM
8154,0,TPS
8155,109,MAP
8176,0,REVCNT
8179,0,RPM
8179,0,TPS
8180,109,MAP
8198,0,REVCNT
8201,0,RPM
8202,0,TPS
8202,109,MAP
8221,494,ACC1X
8224,520,ACC1Y
8225,603,ACC1Z
8225,0,CHIP1T
8242,0,REVCNT
8245,0,RPM
8246,0,TPS
8246,109,MAP
8263,0,REVCNT
8266,0,RPM
8267,0,TPS
8267,109,MAP
8290,0,REVCNT
8293,0,RPM
8293,0,TPS
8294,109,MAP
8311,0,REVCNT
8314,0,RPM
8315,0,TPS
8315,109,MAP
8339,494,ACC1X
8342,520,ACC1Y
8343,602,ACC1Z
8343,0,CHIP1T
8359,0,REVCNT
8363,0,RPM
8364,0,TPS
8364,109,MAP
8381,0,REVCNT
8384,0,RPM
8385,0,TPS
8385,109,MAP
8408,0,REVCNT
8411,0,RPM
8411,0,TPS
8412,109,MAP
8429,0,REVCNT
8432,0,RPM
8433,0,TPS
8433,109,MAP
8453,494,ACC1X
8456,520,ACC1Y
8457,603,ACC1Z
8457,0,CHIP1T
8473,0,REVCNT
8476,0,RPM
8476,0,TPS
8477,109,MAP
8495,0,REVCNT
8498,0,RPM
8498,0,TPS
8499,109,MAP
8520,0,REVCNT
8523,0,RPM
8524,0,TPS
8524,109,MAP
8543,0,REVCNT
8551,0,RPM
8552,0,TPS
8552,109,MAP
8571,494,ACC1X
8574,520,ACC1Y
8576,603,ACC1Z
8576,0,CHIP1T
8592,0,REVCNT
8595,0,RPM
8596,0,TPS
8596,109,MAP
8613,0,REVCNT
8616,0,RPM
8617,0,TPS
8617,109,MAP
8640,0,REVCNT
