Time Diff, Data, meas
6434,0,REVCNT
6437,0,RPM
6438,0,TPS
6438,108,MAP
6461,0,REVCNT
6464,0,RPM
6465,0,TPS
6465,109,MAP
6483,0,REVCNT
6491,0,RPM
6491,0,TPS
6492,109,MAP
6511,494,ACC1X
6514,519,ACC1Y
6514,605,ACC1Z
6515,0,CHIP1T
6532,0,REVCNT
6535,0,RPM
6536,0,TPS
6536,109,MAP
6553,0,REVCNT
6556,0,RPM
6557,0,TPS
6557,109,MAP
6580,0,REVCNT
6583,0,RPM
6584,0,TPS
6584,109,MAP
6602,0,REVCNT
6605,0,RPM
6605,0,TPS
6606,109,MAP
6626,492,ACC1X
6629,520,ACC1Y
6630,604,ACC1Z
6630,0,CHIP1T
6646,0,REVCNT
6649,0,RPM
6650,0,TPS
6650,109,MAP
6669,0,REVCNT
6672,0,RPM
6672,0,TPS
6673,109,MAP
6694,0,REVCNT
6697,0,RPM
6699,0,TPS
6705,109,MAP
6723,0,REVCNT
6726,0,RPM
6726,0,TPS
6727,109,MAP
6747,493,ACC1X
6750,522,ACC1Y
6750,603,ACC1Z
6751,0,CHIP1T
6767,0,REVCNT
6770,0,RPM
6771,0,TPS
6771,109,MAP
6790,0,REVCNT
6793,0,RPM
6793,0,TPS
6793,109,MAP
6815,0,REVCNT
6818,0,RPM
6819,0,TPS
6819,109,MAP
6837,0,REVCNT
6840,0,RPM
6841,0,TPS
6841,109,MAP
6860,494,ACC1X
6863,522,ACC1Y
6864,603,ACC1Z
6865,0,CHIP1T
6882,0,REVCNT
6885,0,RPM
6885,0,TPS
6886,109,MAP
6903,0,REVCNT
6906,0,RPM
6907,0,TPS
6907,109,MAP
6933,0,REVCNT
6936,0,RPM
6937,0,TPS
6937,109,MAP
6956,0,REVCNT
6958,0,RPM
6959,0,TPS
6959,109,MAP
6979,492,ACC1X
6982,521,ACC1Y
6983,604,ACC1Z
6983,0,CHIP1T
7001,0,REVCNT
7004,0,RPM
7004,0,TPS
7004,109,MAP
7022,0,REVCNT
7025,0,RPM
7025,0,TPS
7026,109,MAP
7049,0,REVCNT
7052,0,RPM
7052,0,TPS
7053,109,MAP
7070,0,REVCNT
7073,0,RPM
7073,0,TPS
7074,109,MAP
7095,493,ACC1X
7098,522,ACC1Y
7098,603,ACC1Z
7099,0,CHIP1T
7115,0,REVCNT
7118,0,RPM
7119,0,TPS
7119,109,MAP
7137,0,REVCNT
7146,0,RPM
7147,0,TPS
7147,109,MAP
7170,0,REVCNT
7173,0,RPM
7173,0,TPS
7174,108,MAP
7191,0,REVCNT
7194,0,RPM
7195,0,TPS
7195,109,MAP
7215,493,ACC1X
7218,522,ACC1Y
7219,604,ACC1Z
7219,0,CHIP1T
7236,0,REVCNT
7239,0,RPM
7239,0,TPS
7240,108,MAP
7258,0,REVCNT
7261,0,RPM
7262,0,TPS
7262,109,MAP
7284,0,REVCNT
7287,0,RPM
7287,0,TPS
7288,109,MAP
7306,0,REVCNT
7309,0,RPM
7310,0,TPS
7310,109,MAP
7329,493,ACC1X
7332,522,ACC1Y
7333,603,ACC1Z
7333,0,CHIP1T
7351,0,REVCNT
7354,0,RPM
7358,0,TPS
7358,109,MAP
7376,0,REVCNT
7379,0,RPM
7379,0,TPS
7379,109,MAP
7402,0,REVCNT
7405,0,RPM
7405,0,TPS
7406,109,MAP
7424,0,REVCNT
7427,0,RPM
7428,0,TPS
7428,109,MAP
7448,493,ACC1X
7451,522,ACC1Y
7452,603,ACC1Z
7452,0,CHIP1T
7469,0,REVCNT
7472,0,RPM
7473,0,TPS
7473,109,MAP
7491,0,REVCNT
7494,0,RPM
7494,0,TPS
7495,109,MAP
7517,0,REVCNT
7520,0,RPM
7521,0,TPS
7521,109,MAP
7539,0,REVCNT
7542,0,RPM
7542,0,TPS
7542,109,MAP
7563,493,ACC1X
7566,522,ACC1Y
7566,603,ACC1Z
7573,0,CHIP1T
7589,0,REVCNT
7592,0,RPM
7592,0,TPS
7593,108,MAP
7611,0,REVCNT
7614,0,RPM
7615,0,TPS
7615,109,MAP
7638,0,REVCNT
7641,0,RPM
7642,0,TPS
7642,108,MAP
7660,0,REVCNT
7662,0,RPM
7663,0,TPS
7663,109,MAP
7684,493,ACC1X
7687,522,ACC1Y
7688,603,ACC1Z
7688,0,CHIP1T
7705,0,REVCNT
7708,0,RPM
7708,0,TPS
7709,109,MAP
7727,0,REVCNT
7730,0,RPM
7730,0,TPS
7731,109,MAP
7752,0,REVCNT
7755,0,RPM
7756,0,TPS
7756,109,MAP
7775,0,REVCNT
7778,0,RPM
7778,0,TPS
7779,108,MAP
7798,493,ACC1X
7805,521,ACC1Y
7805,604,ACC1Z
7806,0,CHIP1T
7823,0,REVCNT
7826,0,RPM
7826,0,TPS
7827,109,MAP
7844,0,REVCNT
7847,0,RPM
7848,0,TPS
7848,109,MAP
7872,0,REVCNT
7875,0,RPM
7875,0,TPS
7876,108,MAP
7894,0,REVCNT
7897,0,RPM
7897,0,TPS
7898,109,MAP
7917,493,ACC1X
7920,521,ACC1Y
7921,603,ACC1Z
7922,0,CHIP1T
7939,0,REVCNT
7941,0,RPM
7942,0,TPS
7942,109,MAP
7960,0,REVCNT
7963,0,RPM
7963,0,TPS
7963,109,MAP
7987,0,REVCNT
7990,0,RPM
7990,0,TPS
7991,109,MAP
8008,3,DTPS+
8011,0,DTPS-
8017,20,DECAYINJ(+) - DECAYINJ(-)
8018,20,DECAYIGN(+) - DECAYIGN(-)
8038,493,ACC1X
8041,521,ACC1Y
8042,604,ACC1Z
8042,0,CHIP1T
8058,0,REVCNT
8061,0,RPM
8062,0,TPS
8062,108,MAP
8081,0,REVCNT
8084,0,RPM
8084,0,TPS
8085,109,MAP
8107,7087,INJLOW
8110,0,SPARK1
8111,150,PHASE_LOW
8111,3601,PHASE_HIGH
8129,0,REVCNT
8132,0,RPM
8132,0,TPS
8133,109,MAP
8153,493,ACC1X
8156,519,ACC1Y
8157,603,ACC1Z
8158,0,CHIP1T
8174,0,REVCNT
8177,0,RPM
8177,0,TPS
8178,109,MAP
8196,0,REVCNT
8199,0,RPM
8203,0,TPS
8203,109,MAP
8225,0,REVCNT
8228,0,RPM
8228,0,TPS
8229,109,MAP
8247,0,REVCNT
8250,0,RPM
8251,0,TPS
8251,109,MAP
8271,492,ACC1X
8274,519,ACC1Y
8274,603,ACC1Z
8275,0,CHIP1T
8292,0,REVCNT
8295,0,RPM
8295,0,TPS
8296,109,MAP
8313,0,REVCNT
8316,0,RPM
8317,0,TPS
8317,109,MAP
8340,0,REVCNT
8343,0,RPM
8343,0,TPS
8344,109,MAP
8361,0,REVCNT
8365,0,RPM
8365,0,TPS
8366,109,MAP
8385,493,ACC1X
8388,520,ACC1Y
8389,603,ACC1Z
8389,0,CHIP1T
8406,0,REVCNT
8409,0,RPM
8410,0,TPS
8410,109,MAP
8433,0,REVCNT
8436,0,RPM
8437,0,TPS
8437,109,MAP
8460,0,REVCNT
8462,0,RPM
8463,0,TPS
8463,109,MAP
8481,0,REVCNT
8484,0,RPM
8484,0,TPS
8485,109,MAP
8505,494,ACC1X
8508,520,ACC1Y
8509,603,ACC1Z
8509,0,CHIP1T
8525,0,REVCNT
8528,0,RPM
8529,0,TPS
8529,109,MAP
8547,0,REVCNT
8550,0,RPM
8551,0,TPS
8551,109,MAP
8573,0,REVCNT
8577,0,RPM
8578,0,TPS
8578,109,MAP
8596,0,REVCNT
8599,0,RPM
8599,0,TPS
8600,108,MAP
8620,493,ACC1X
8623,520,ACC1Y
8624,603,ACC1Z
8624,0,CHIP1T
8641,0,REVCNT
8647,0,RPM
8648,0,TPS
8648,108,MAP
8666,0,REVCNT
8669,0,RPM
8670,0,TPS
8670,108,MAP
8692,0,REVCNT
8695,0,RPM
8695,0,TPS
8696,109,MAP
8714,0,REVCNT
8717,0,RPM
8718,0,TPS
8718,109,MAP
8737,487,ACC1X
8740,520,ACC1Y
8741,604,ACC1Z
8742,0,CHIP1T
8759,0,REVCNT
8761,0,RPM
8762,0,TPS
8762,109,MAP
8782,0,REVCNT
8785,0,RPM
8785,0,TPS
8786,109,MAP
8818,0,REVCNT
8821,0,RPM
8822,0,TPS
8822,108,MAP
8840,0,REVCNT
8843,0,RPM
8844,0,TPS
8844,109,MAP
8863,492,ACC1X
8866,520,ACC1Y
8873,603,ACC1Z
8875,0,CHIP1T
8891,0,REVCNT
8893,0,RPM
8894,0,TPS
8894,109,MAP
8912,0,REVCNT
8915,0,RPM
8915,0,TPS
8915,109,MAP
8938,0,REVCNT
8941,0,RPM
8941,0,TPS
8942,109,MAP
8960,0,REVCNT
8963,0,RPM
8964,0,TPS
8964,109,MAP
8983,494,ACC1X
8986,520,ACC1Y
8987,603,ACC1Z
8987,0,CHIP1T
9004,0,REVCNT
9007,0,RPM
9008,0,TPS
9008,109,MAP
9025,0,REVCNT
9028,0,RPM
9029,0,TPS
9029,109,MAP
9052,0,REVCNT
9055,0,RPM
9055,0,TPS
9056,108,MAP
9073,0,REVCNT
9076,0,RPM
9077,0,TPS
9077,109,MAP
9101,494,ACC1X
9104,520,ACC1Y
9104,604,ACC1Z
9105,0,CHIP1T
9121,0,REVCNT
9124,0,RPM
9125,0,TPS
9125,109,MAP
9143,0,REVCNT
9146,0,RPM
9147,0,TPS
9147,108,MAP
9169,0,REVCNT
9172,0,RPM
9174,0,TPS
9174,108,MAP
9192,0,REVCNT
9195,0,RPM
9195,0,TPS
9196,109,MAP
9216,493,ACC1X
9219,519,ACC1Y
9219,604,ACC1Z
9220,0,CHIP1T
9236,0,REVCNT
9239,0,RPM
9239,0,TPS
9240,109,MAP
9257,0,REVCNT
9261,0,RPM
9261,0,TPS
9262,109,MAP
9284,0,REVCNT
9287,0,RPM
9288,0,TPS
9288,108,MAP
9307,0,REVCNT
9315,0,RPM
9316,0,TPS
9316,109,MAP
9335,493,ACC1X
9338,520,ACC1Y
9339,603,ACC1Z
9340,0,CHIP1T
9357,0,REVCNT
9360,0,RPM
9360,0,TPS
9361,109,MAP
9378,0,REVCNT
9381,0,RPM
9381,0,TPS
9382,109,MAP
9405,0,REVCNT
9407,0,RPM
9408,0,TPS
9408,109,MAP
9426,0,REVCNT
9430,0,RPM
9430,0,TPS
9431,109,MAP
9450,493,ACC1X
9453,520,ACC1Y
9453,603,ACC1Z
9454,0,CHIP1T
9470,0,REVCNT
9474,0,RPM
9475,0,TPS
9475,109,MAP
9492,0,REVCNT
9495,0,RPM
9496,0,TPS
9496,109,MAP
9519,0,REVCNT
9522,0,RPM
9526,0,TPS
9526,109,MAP
9544,0,REVCNT
9547,0,RPM
9547,0,TPS
9548,109,MAP
9568,493,ACC1X
9571,519,ACC1Y
9571,604,ACC1Z
9572,0,CHIP1T
9588,0,REVCNT
9591,0,RPM
9591,0,TPS
9592,109,MAP
9610,0,REVCNT
9613,0,RPM
9614,0,TPS
9614,108,MAP
9636,0,REVCNT
9639,0,RPM
9639,0,TPS
9640,109,MAP
9658,0,REVCNT
9661,0,RPM
9661,0,TPS
9662,108,MAP
9681,493,ACC1X
9684,519,ACC1Y
9686,603,ACC1Z
9686,0,CHIP1T
9702,0,REVCNT
9705,0,RPM
9706,0,TPS
9706,109,MAP
9723,0,REVCNT
9726,0,RPM
9728,0,TPS
9734,109,MAP
9756,0,REVCNT
9759,0,RPM
9759,0,TPS
9760,109,MAP
9778,0,REVCNT
9781,0,RPM
9781,0,TPS
9782,109,MAP
9801,493,ACC1X
9804,518,ACC1Y
9804,604,ACC1Z
9805,0,CHIP1T
9822,0,REVCNT
9825,0,RPM
9826,0,TPS
9826,109,MAP
9843,0,REVCNT
9846,0,RPM
9847,0,TPS
9847,109,MAP
9870,0,REVCNT
9873,0,RPM
9873,0,TPS
9874,109,MAP
9891,0,REVCNT
9894,0,RPM
9894,0,TPS
9895,109,MAP
9915,493,ACC1X
9918,518,ACC1Y
9919,603,ACC1Z
9920,0,CHIP1T
9935,0,REVCNT
9938,0,RPM
9939,0,TPS
9939,108,MAP
9961,0,REVCNT
9964,0,RPM
9965,0,TPS
9965,109,MAP
9988,0,REVCNT
9991,0,RPM
9992,0,TPS
9992,109,MAP
10010,0,REVCNT
10013,0,RPM
10013,0,TPS
10014,109,MAP
10034,494,ACC1X
10037,518,ACC1Y
10038,604,ACC1Z
10038,0,CHIP1T
10054,0,REVCNT
10057,0,RPM
10058,0,TPS
10058,109,MAP
10077,0,REVCNT
10080,0,RPM
10080,0,TPS
10081,109,MAP
10102,0,REVCNT
10105,0,RPM
10106,0,TPS
10106,109,MAP
10125,0,REVCNT
10128,0,RPM
10128,0,TPS
10129,109,MAP
10148,493,ACC1X
10151,518,ACC1Y
10152,603,ACC1Z
10159,0,CHIP1T
10175,0,REVCNT
10178,0,RPM
10178,0,TPS
10179,109,MAP
10196,0,REVCNT
10200,0,RPM
10201,0,TPS
10201,109,MAP
10223,0,REVCNT
10226,0,RPM
10226,0,TPS
10227,109,MAP
10245,0,REVCNT
10248,0,RPM
10249,0,TPS
10249,109,MAP
10269,493,ACC1X
10272,517,ACC1Y
10273,604,ACC1Z
10273,0,CHIP1T
10291,0,REVCNT
10294,0,RPM
10294,0,TPS
10295,109,MAP
10312,0,REVCNT
10315,0,RPM
10316,0,TPS
10316,109,MAP
10339,0,REVCNT
10342,0,RPM
10342,0,TPS
10343,109,MAP
10360,0,REVCNT
10363,0,RPM
10368,0,TPS
10369,109,MAP
10388,491,ACC1X
10391,519,ACC1Y
10392,603,ACC1Z
10393,0,CHIP1T
10409,0,REVCNT
10413,0,RPM
10413,0,TPS
10414,109,MAP
10431,0,REVCNT
10434,0,RPM
10434,0,TPS
10435,109,MAP
10457,0,REVCNT
10460,0,RPM
10461,0,TPS
10462,109,MAP
10479,0,REVCNT
10482,0,RPM
10483,0,TPS
10483,108,MAP
10503,495,ACC1X
10506,520,ACC1Y
10507,604,ACC1Z
10508,0,CHIP1T
10524,0,REVCNT
10527,0,RPM
10527,0,TPS
10528,109,MAP
10546,0,REVCNT
10549,0,RPM
10550,0,TPS
10550,109,MAP
10572,0,REVCNT
10582,0,RPM
10582,0,TPS
10583,109,MAP
10600,0,REVCNT
10603,0,RPM
10604,0,TPS
10604,108,MAP
10625,492,ACC1X
10628,520,ACC1Y
10628,605,ACC1Z
10629,0,CHIP1T
10645,0,REVCNT
10648,0,RPM
10649,0,TPS
10649,109,MAP
10667,0,REVCNT
10670,0,RPM
10671,0,TPS
10671,109,MAP
10694,0,REVCNT
10697,0,RPM
10697,0,TPS
10698,108,MAP
10717,0,REVCNT
10720,0,RPM
10720,0,TPS
10721,109,MAP
10740,492,ACC1X
10743,520,ACC1Y
10744,604,ACC1Z
10744,0,CHIP1T
10761,0,REVCNT
10764,0,RPM
10765,0,TPS
10765,109,MAP
10786,0,REVCNT
10789,0,RPM
10790,0,TPS
10790,108,MAP
10813,0,REVCNT
10816,0,RPM
10817,0,TPS
10817,109,MAP
10835,0,REVCNT
10839,0,RPM
10839,0,TPS
10840,109,MAP
10859,494,ACC1X
10863,518,ACC1Y
10863,603,ACC1Z
10864,0,CHIP1T
10881,0,REVCNT
10884,0,RPM
10885,0,TPS
10885,109,MAP
10902,0,REVCNT
10905,0,RPM
10906,0,TPS
10906,109,MAP
10929,0,REVCNT
10932,0,RPM
10933,0,TPS
10933,108,MAP
10951,0,REVCNT
10954,0,RPM
10954,0,TPS
10955,109,MAP
10975,494,ACC1X
10978,519,ACC1Y
10984,603,ACC1Z
10985,0,CHIP1T
11001,0,REVCNT
11004,0,RPM
11005,0,TPS
11005,109,MAP
11023,0,REVCNT
11026,0,RPM
11027,0,TPS
11027,109,MAP
11049,0,REVCNT
11053,0,RPM
11054,0,TPS
11054,109,MAP
11072,0,REVCNT
11075,0,RPM
11075,0,TPS
11076,109,MAP
11096,493,ACC1X
11099,517,ACC1Y
11100,602,ACC1Z
11100,0,CHIP1T
11116,0,REVCNT
11119,0,RPM
11120,0,TPS
11120,109,MAP
11139,0,REVCNT
11142,0,RPM
11142,0,TPS
11143,109,MAP
11164,0,REVCNT
11167,0,RPM
11168,0,TPS
11168,109,MAP
11187,0,REVCNT
11194,0,RPM
11194,0,TPS
11195,108,MAP
