Time Diff, Data, meas
10748,0,CHIP1T
10765,0,REVCNT
10768,0,RPM
10768,0,TPS
10769,109,MAP
10786,0,REVCNT
10789,0,RPM
10790,0,TPS
10790,109,MAP
10813,0,REVCNT
10816,0,RPM
10816,0,TPS
10823,109,MAP
10841,0,REVCNT
10844,0,RPM
10845,0,TPS
10845,109,MAP
10864,495,ACC1X
10867,520,ACC1Y
10868,606,ACC1Z
10869,0,CHIP1T
10886,0,REVCNT
10889,0,RPM
10889,0,TPS
10890,109,MAP
10907,0,REVCNT
10910,0,RPM
10911,0,TPS
10911,109,MAP
10934,0,REVCNT
10937,0,RPM
10937,0,TPS
10938,109,MAP
10955,0,REVCNT
10958,0,RPM
10959,0,TPS
10959,109,MAP
10980,495,ACC1X
10983,520,ACC1Y
10984,606,ACC1Z
10984,0,CHIP1T
11000,0,REVCNT
11003,0,RPM
11004,0,TPS
11004,109,MAP
11023,0,REVCNT
11026,0,RPM
11030,0,TPS
11030,109,MAP
11054,0,REVCNT
11057,0,RPM
11057,0,TPS
11058,109,MAP
11076,0,REVCNT
11079,0,RPM
11079,0,TPS
11080,109,MAP
11100,495,ACC1X
11103,520,ACC1Y
11104,605,ACC1Z
11104,0,CHIP1T
11120,0,REVCNT
11123,0,RPM
11124,0,TPS
11124,109,MAP
11142,0,REVCNT
11145,0,RPM
11146,0,TPS
11146,109,MAP
11168,0,REVCNT
11171,0,RPM
11172,0,TPS
11172,109,MAP
11191,0,REVCNT
11194,0,RPM
11194,0,TPS
11195,109,MAP
11214,495,ACC1X
11217,520,ACC1Y
11218,605,ACC1Z
11219,0,CHIP1T
11241,0,REVCNT
11244,0,RPM
11245,0,TPS
11245,109,MAP
11264,0,REVCNT
11267,0,RPM
11267,0,TPS
11268,109,MAP
11290,0,REVCNT
11293,0,RPM
11293,0,TPS
11294,109,MAP
11312,0,REVCNT
11315,0,RPM
11316,0,TPS
11316,109,MAP
11335,495,ACC1X
11338,521,ACC1Y
